place_name,place_description,status
Fraunces Tavern Museum,"calendar.aiany.org  Fraunces Tavern Museum. ... on preserving and showcasing the history of Colonial America, the American Revolutionary War, and the early days ... › Attractions-g60763-Activities-zft... THE 10 BEST Hidden Gem Attractions in New York City (2024) One of NYC's oldest restaurants and bars, Fraunces Tavern has a Piano Bar Upstairs. The intimate room above The Independence Bar is soaked in a shade of ... › things-to-do › secret-new-york Secrets of NYC: Hidden spots that only locals know Fraunces Tavern is the oldest and most historic restaurant in the entire city. It was once the go-to spot for people like George Washington. So, if you're like ... › New York City Unique Places I've Seen In NYC That Most Tourists Don't Know About",not_extracted
Harlem,"t0.gstatic.com Long known for its intimate jazz clubs, soul food institutions and African-American heritage, Harlem draws a diverse crowd of locals and visitors. Trendy eateries, stylish clubs and hip bars make for an energetic nightlife scene. The area features a mix of 19th-century brownstones and modern high-rises. Its main artery, 125th Street, is home to the iconic Apollo Theater, as well as chain stores and restaurants. Long known for its intimate jazz clubs, soul food institutions and African-American heritage, Harlem draws a diverse crowd of locals and visitors. Trendy eateries, stylish clubs and hip bars make for an energetic nightlife scene. The area features a mix of 19th-century brownstones and modern high-rises. Its main artery, 125th Street, is home to the iconic Apollo Theater, as well as chain stores and restaurants.  Harlem. Harlem is one of my favorite neighborhoods in NYC. There is so much to do and see in this historic section of NYC. Originally settled by the Dutch ... › 11-most-underrated-attractions-i... 11 MOST UNDERRATED ATTRACTIONS IN NYC YOU MUST SEE - Travels with Talek There's more street art to see in East Harlem, where the Graffiti Hall of Fame dominates the local area, paying tribute to historic figures of the area, and ... › blog › 10-non-touristy-things-to... 10 Non-Touristy Things To Do in NYC Stroll the high bridge in Harlem. Secret places in NYC aren't always underground—in fact, this one rises above your head as soon as you enter the city ... › blog › secret-places-in-nyc Secret Places in NYC: 10 Interesting Spots You Need to Visit",not_extracted
Wave Hill,"t3.gstatic.com Wave Hill is a 28-acre estate in the Hudson Hill section of Riverdale in the Bronx, New York City. Wave Hill currently consists of public horticultural gardens and a cultural center, all situated on the slopes overlooking the Hudson River, with expansive views across the river to the New Jersey Palisades. Wave Hill is a 28-acre estate in the Hudson Hill section of Riverdale in the Bronx, New York City. Wave Hill currently consists of public horticultural gardens and a cultural center, all situated on the slopes overlooking the Hudson River, with expansive views across the river to the New Jersey Palisades. Wikipedia  Wikipedia  Wave Hill Gardens. This spectacular public garden and cultural centre overlooks the Hudson River and Palisades in the Bronx and offers a great respite from ... › 10-absolutely-underrated-attractio... Less-touristy New York City attractions you shouldn't miss | Quotient Travel Wave Hill. This city-owned garden in the Riverdale section of the Bronx retains the same horticultural traditions as when it was a private estate. You'll ... › newyork › best-lesser-known-nyc-... 15 Lesser-Known New York Attractions | Underrated Things To Do In NYC Wave Hill Gardens and Cultural Center in the Bronx; City Island, the Bronx; Edgar Allen Poe Cottage, the Bronx; Eat Italian food and pastry on Art. Continue ... › ... What are some non- touristy places in NYC apart from Manhattan for ...",not_extracted
Central Park,"t2.gstatic.com Central Park is an urban park between the Upper West Side and Upper East Side neighborhoods of Manhattan in New York City that was the first landscaped park in the United States. Central Park is an urban park between the Upper West Side and Upper East Side neighborhoods of Manhattan in New York City that was the first landscaped park in the United States. Wikipedia  Wikipedia  Central Park has lots of little-known sections within its sprawling greenery, and one of those is called “The Ravine,” the stream valley section of the ... › extraordinary-places-you-wont-believe-a... 17 NYC Places That Don't Look Like They're In New York City Once you've seen Central Park's weekend crowds at Sheep Meadow, the runners at Onassis Reservoir, and a marriage proposal or two at Bow Bridge, head north to ... › non-touristy-things-to-do-in-nyc 24 Non-touristy Things to do in NYC (From a Local) Storico, the restaurant at the New York-Historical Society. Where: 170 Central Park West. 3. “Bethesda Terrace before 9 a.m. on Saturday, when the dogs of ... › Things To Do 50 Most Underrated Places Across NYC, According To New Yorkers",not_extracted
Chinatown,"secretnyc.co  Lower Manhattan's famous Chinatown is home to a thriving and essential community of Chinese immigrants, but it's also become a big tourist draw and is ... › blog › travel-guides › non-touristy-thi... 7 Non-Touristy Things to Do in New York City - HI USA",not_extracted
Noguchi Museum,"www.noguchi.org The Noguchi Museum is a museum and sculpture garden at 32-37 Vernon Boulevard in the Long Island City neighborhood of Queens in New York City, designed and created by the Japanese American sculptor Isamu Noguchi. The Noguchi Museum is a museum and sculpture garden at 32-37 Vernon Boulevard in the Long Island City neighborhood of Queens in New York City, designed and created by the Japanese American sculptor Isamu Noguchi. Wikipedia  Wikipedia  Noguchi Museum. The Noguchi Museum in Long Island City has been open since the 1980's and works to advance the understanding and appreciation of the art of ... › underrated-hidden-gems-museums-nyc 15 Lesser-Known Museums In NYC That Are Total Hidden Gems The Noguchi Museum. Instead of visiting one of the more centrally located design museums, head to Noguchi Museum in Queens. Even though it's smaller, it's ... › by-destination › underrated-places-t... Underrated places to visit in New York City - GO LIVE IT Noguchi Museum. For fans of art, the name Isamu Noguchi will immediately strike a chord. › Inspiration › Attractions 27 Underrated Tourist Attractions To Add To Your NYC Itinerary",not_extracted
The High Line,"t1.gstatic.com Template:Attached KML/High Line
KML is not from Wikidata
The High Line is a 1.45-mile-long elevated linear park, greenway, and rail trail created on a former New York Central Railroad spur on the west side of Manhattan in New York City. Template:Attached KML/High Line
KML is not from Wikidata
The High Line is a 1.45-mile-long elevated linear park, greenway, and rail trail created on a former New York Central Railroad spur on the west side of Manhattan in New York City. Wikipedia  Wikipedia  The High Line Park. A 1930s railway line suspended in the air over Manhattan's industrial district may seem an unusual place to site a park. But this hip ... › 10-absolutely-underrated-attractio... Less-touristy New York City attractions you shouldn't miss | Quotient Travel The High Line is an elevated platform that used to be train tracks. Today, the High Line has been refurbished into a mile-and-a-half-long park, filled with ... › the-top-10-most-underrated-thin... The Top 10 Most Underrated Things to do in New York City The High Line, which stretches more than 2 kilometers, offers beautiful views of the city from above street level, and features art installations and a few ... › experience › 5-underrated-new-... 5 Underrated New York City Parks",not_extracted
Conservatory Garden,"t2.gstatic.com The Conservatory Garden is a formal garden near the northeastern corner of Central Park in Upper Manhattan, New York City. Comprising 6 acres, it is the only formal garden in Central Park. Conservatory Garden takes its name from a conservatory that stood on the site from 1898 to 1935. The Conservatory Garden is a formal garden near the northeastern corner of Central Park in Upper Manhattan, New York City. Comprising 6 acres, it is the only formal garden in Central Park. Conservatory Garden takes its name from a conservatory that stood on the site from 1898 to 1935. Wikipedia  Wikipedia  New York Conservatory Garden. Right on the outskirts of Central Park on 103rd Street is one of the prettiest gardens in Manhattan, The Conservatory Garden ... › 11-most-underrated-attractions-i... 11 MOST UNDERRATED ATTRACTIONS IN NYC YOU MUST SEE - Travels with Talek Welcome to Conservatory Garden, NYC's 6-acre formal garden in Central Park, awaiting visitors to enjoy the beauty of blooms and greens in style! › least-crowded-but-scenic-places-t... 10 Least-Crowded, But Still Scenic Places To Visit In New York City Because most of the hardscape has been around since 1937 when the Conservatory opened, it's currently under restoration. Right now, the French garden is ... › best-underrated-parks-in-nyc 10 underrated NYC parks to visit this spring | 6sqft",not_extracted
Flushing,"t1.gstatic.com Multicultural Flushing is home to the city’s largest Chinatown, with bustling sidewalks, a tumult of shops, and eateries serving soup dumplings to Taiwanese pancakes. Korean and Indian cultures are well represented too. Built in 1862, Flushing Town Hall now hosts jazz concerts, and several historic homes date to the 17th and 18th centuries. The Queens Botanical Garden is a 39-acre oasis with a focus on native plants. Multicultural Flushing is home to the city’s largest Chinatown, with bustling sidewalks, a tumult of shops, and eateries serving soup dumplings to Taiwanese pancakes. Korean and Indian cultures are well represented too. Built in 1862, Flushing Town Hall now hosts jazz concerts, and several historic homes date to the 17th and 18th centuries. The Queens Botanical Garden is a 39-acre oasis with a focus on native plants.  Flushing. In contrast, Flushing is definitely cooler, and at the same time an underrated neighborhood in NYC. Besides being more affordable than the UES ... › blog › underrated-nyc-neighborhoods 10 Underrated Neighborhoods In NYC To Live In for 2024 | Roomi Explore Flushing, Queens. They say that Chinatown lies just under Soho and the LES, but they're wrong. The real Chinatown is actually in Flushing, Queens ... › the-top-10-most-underrated-thin... The Top 10 Most Underrated Things to do in New York City Flushing, New York. Flushing is a neighborhood in the New York borough of Queens. It is one of the most underrated attractions in NYC. Why? Flushing has the ... › 11-most-underrated-attractions-i... 11 MOST UNDERRATED ATTRACTIONS IN NYC YOU MUST SEE - Travels with Talek",not_extracted
Kingston,"t1.gstatic.com Kingston is the only city in, and the county seat of, Ulster County, New York, United States. It is 91 miles north of New York City and 59 miles south of Albany. The city's metropolitan area is grouped with the New York metropolitan area around Manhattan by the United States Census Bureau. Kingston is the only city in, and the county seat of, Ulster County, New York, United States. It is 91 miles north of New York City and 59 miles south of Albany. The city's metropolitan area is grouped with the New York metropolitan area around Manhattan by the United States Census Bureau. Wikipedia  Wikipedia  Kingston is known to offer some of the most breathtaking views of the Hudson River and multiple outdoor recreational opportunities, including hiking and ... › underrated-new-york-cities-summer 7 Underrated New York Cities That Come Alive In The Summer Kingston. The historic Kingston Stockade District in Kingston, New York, USA. Kingston is home to an engaging shopping experience and makes an excellent ... › travel › 13-most-underrated-tow... 13 Most Underrated Towns In New York To Take A Trip To - WorldAtlas When visiting Kingston, travelers might stop by the historic Stockade District, which features well-preserved 17th-century buildings. The city's artistic ... › underrated-cities-in-new-york-wit... 7 Underrated Cities In New York With NYC Vibes, But Better",not_extracted
Museum of the Moving Image,"t1.gstatic.com The Museum of the Moving Image is a media museum located in a former building of the historic Astoria Studios, in the Astoria neighborhood of Queens in New York City. The Museum of the Moving Image is a media museum located in a former building of the historic Astoria Studios, in the Astoria neighborhood of Queens in New York City. Wikipedia  Wikipedia  Museum of the Moving Image. The Museum of the Moving Image in Queens is one of the most underrated museums in the city. › underrated-hidden-gems-museums-nyc 15 Lesser-Known Museums In NYC That Are Total Hidden Gems Cinephiles will love spending an afternoon at the Museum of the Moving Image in Astoria, where you can watch classic films in a state-of-the-art cinema ... › newyork › best-lesser-known-nyc-... 15 Lesser-Known New York Attractions | Underrated Things To Do In NYC Museum of Moving Image ... This is the perfect museum to visit for all those who love TV and film. Exhibits feature film screenings, in-person panels, and behind- ... › blog › discover-16-hidden-mu... Discover 16 Hidden Museum Gems in New York City",not_extracted
Berlin Wall section,"www.aworldtotravel.com  Berlin Wall Section. A celebration of capitalism in Midtown. 40.7117, -74.0167 ; Gimbel's Bridge. A three-story copper skybridge connects two Manhattan buildings ... › users › lauargento › lists › ne... New York Hidden Gems Walk on by these iconic locations. ; Berlin Wall Section. A celebration of capitalism in Midtown. ; Pneumatic System of the New York Public Library. One of the ... › users › larissahayden › lists New York City History, Hidden In Plain Sight 2. A piece of the Berlin Wall in Manhattan ... What if I told you that you don't have to travel to Berlin to see a piece of the Berlin Wall? It's true! There's a ... › nyc-hidden-gems-locals-sec... Escape the Crowds: A Local's Guide to NYC's Secret Spots - A World to Travel",not_extracted
Old City Hall Station,"www.nytransitmuseum.org  Old City Hall Station. Sure, locals live to complain about the subway—although we really do have a soft spot for it in our hearts. The NYC train system is ... › list › nyc-hidden-gems 21 NYC Hidden Gems Most New Yorkers Don't Know About   YouTube · YouTube · Pedro Nascimento · Sep 5, 2019 YouTube  · Pedro Nascimento New York TOP Hidden Places to Visit The abandoned City Hall subway station, untouched since 1945, holds its charm with grand skylights, vaulted tiled ceilings, and brass chandeliers. Though ... › worth-traveling-for › secret-sexy-s... Secret Sexy Spots in New York City– Travel Curator",not_extracted
Renwick Smallpox Hospital,"www.thebrokebackpacker.com  Renwick Smallpox Hospital. Built in 1856 in the Gothic Revival style, Renwick Smallpox Hospital is a must-see for anyone who gets a kick out of exploring ... › secret-nyc-tourist-attractions 5 Secret Spots in NYC Most Tourists Don’t Know About — Daily Passport Renwick Smallpox Hospital. Endlessly eerie, Renwick Smallpox Hospital on the southern tip of Roosevelt Island is accessible from Manhattan by subway or the ... › list › nyc-hidden-gems 21 NYC Hidden Gems Most New Yorkers Don't Know About The Renwick Smallpox Hospital on Roosevelt Island is a designated New York City Landmark, known for its Gothic Revival architecture and eerie atmosphere. › blog › secret-places-in-nyc Secret Places in NYC: 10 Interesting Spots You Need to Visit",not_extracted
Columbia University,uk.pinterest.com  Columbia University. Find this Ivy League university on the Upper West Side. › Attractions-g60763-Activities-z... THE 10 BEST Hidden Gems in New York City (Updated 2024),not_extracted
High Bridge,"en.wikipedia.org The High Bridge is a steel arch bridge connecting the New York City boroughs of the Bronx and Manhattan. Rising 140 ft over the Harlem River, it is the city's oldest bridge, having opened as part of the Croton Aqueduct in 1848. The High Bridge is a steel arch bridge connecting the New York City boroughs of the Bronx and Manhattan. Rising 140 ft over the Harlem River, it is the city's oldest bridge, having opened as part of the Croton Aqueduct in 1848. Wikipedia  Wikipedia  Stroll the high bridge in Harlem. Secret places in NYC aren't always underground—in fact, this one rises above your head as soon as you enter the city ... › blog › secret-places-in-nyc Secret Places in NYC: 10 Interesting Spots You Need to Visit Unused since 1970, the High Bridge once was a main connector between Manhattan and the Bronx. It leads to some beautiful nature and forest areas on the ... › secret-places-in-new-york-t... Secret Places in New York Tourists Don't Know about ...",not_extracted
The hidden waterfall,"www.experience-nyc.com  The Hidden Waterfall. In the middle of Central Park, there's a surprise: a hidden waterfall. It's tucked away, not known by many. This little waterfall ... › post › central-parks-secret-... Central Parks Secret Spots (2024) Outsmart the crowds and get to know the real New York with our handy guide to finding ten of the city's hidden gems - from secret bars to night shopping. › blog › language › hidden-gems-in-new-... 10 hidden gems in New York: Beyond the Brooklyn Bridge ‹ GO Blog ... 1. Museum of Ice Cream. In a city full of famous museums, there's one that is still hidden from the tourist trail – and it's the city's tastiest ... › wwen › blog › language › 10-hidden-ge... 10 hidden gems in New York ‹ EF GO Blog | EF Global Site (English)",not_extracted
The New York Earth Room,"en.wikipedia.org The New York Earth Room is an interior sculpture by the artist Walter De Maria that has been installed in a loft at 141 Wooster Street in New York City since 1977. The sculpture is a permanent installation of 250 cubic yards of earth in 3,600 square feet of floor space, and 22 inch depth of material. The New York Earth Room is an interior sculpture by the artist Walter De Maria that has been installed in a loft at 141 Wooster Street in New York City since 1977. The sculpture is a permanent installation of 250 cubic yards of earth in 3,600 square feet of floor space, and 22 inch depth of material. Wikipedia  Wikipedia  The New York Earth Room. Hidden among the chic boutiques of Soho is an art installation that is simply a white loft filled with 280,000 pounds of dirt! The ... › secret-places-in-new-york-t... Secret Places in New York Tourists Don't Know about ... The New York Earth Room. A room in New York City that contains 250 cubic yards of dirt worth a million dollars. › users › lauargento › lists › ne... New York Hidden Gems Preserved Remnants of 17th Century New York. Under a glass sidewalk lie the remains of some of Manhattan's oldest buildings. › users › larissahayden › lists New York City History, Hidden In Plain Sight",not_extracted
